丫	Daemon	Yaya
定過抬油	Over -lift	Overlift oil
定係	Fixed system	Fixed
頂喉頂頸	Throat and neck	Top-Throat Neck
電結他	Electricity at him	Electric Guitar
頂癮	Be addicted	Top Addiction
頂爺	Top grandfather	Top Grandpa
叮熱	Bite	Ding Fever
丁權	Diced power	Ding Kuen
頂籠	Cage	Top Cage
頂唔順	Dazzle	Top Shun
頂唔住	Do not live	Top not live
頂你個肺	Top you a lung	Top your lungs
頂硬上	Top hard up	Top Hard On
定晒形	Fixed sun	Fixed Sun Shape
頂心頂肺	Heartbroken	Top-cardiopulmonary
頂手	Handle	Top hand
頂手費	Top fee	Top hand fee
定食	Fixed feeding	Set meal
定 … 先	Fixed ... first	Set... first
頂肚	Beings on the abdomen	Top belly
丁屋	Diced house	Ding House
丁屋政策	Dingwu policy	Tinghouse Policy
叮走	Bite away	Ding Go
頂趾	Top toe	Toe
頂趾鞋	Top toe shoes	Toe shoes
頂證	Prove	Top Pass
頂住條氣	Stand up	Hold the gas
頂住肚	Hold the belly	Hold the belly
電器佬	Appliance	Electric Guy
電器師傅	Electrical master	Master Electric
電油	Electric oil	Electric oil
電油站	Electric oil station	Electric gas station
電樓梯	Staircase	Electric Stairs
癲佬	Seductive	Dick
癲妹	Epilepsy	epilepsy
癲女	Epilepsy	Epilepsy
電眼	Electric eye	Electric Eye
癲婆	Epilepsy	Epilepsy
電芯	Batteries	Battery Cell
電水煲	Electric water pot	Electric kettle
電鬚刨	Beard	Electric shaver
電船	Electric boat	Electric boat
癲仔	Epilepsy	epilepsy
電掣	Mix	Electric Switch
電掣房	Vitamin	Electric Switch Room
電子辭典	Electronic dictionary	Electronic dictionaries
電子貨幣	Electronic money	Electronic money
電子咭	Electronics	E-card
電唧車	Motorcycle	Electric Pallet
電氈	Electric felt	Electric felt
電子聖誕咭	Electronic Christmas 咭	Christmas e-Card
電召的士	Calligraphy	Radio Taxi
電召的士台	Singing Shutai	Radio Taxi
疊	Stack	stack
碟	dish	DISC
碟	dish	DISC
蝶	butterfly	Butterflies
碟飯	Dish meal	Dish with rice
疊๺心水	Stacking heart water	PADDUI HEART
碟頭飯	Dish	Dish with rice
碟仔	Dish	Dish
DESIGN	Design	DESIGN
跌	fall	Falling
秩	rank	Rank
跌嚫	Fall	Plunging
跌價	Decline	Price drop
跌跤	Fall	Wrestling
跌落地ⲡ翻拃沙	Falling the ground and turning the sand	Falling sand
跌落嚟	Fell down	Falling
跌眼鏡	Unknown	Dropped glasses
丟	leave	Lose
刁	carry	Diao
雕	Carving	carving
屌	Dick	Cock
賒	buy on credit	
吊	Hang	hanging
釣	Fishing	Fishing
吊	Hang	hanging
吊	Hang	hanging
掉	Lose	Drop
調	Tune	Tune
吊臂	Bang	Jib
吊臂車	Boom	Jib car
吊吊捹	Hanging	Hanging hammock
調返轉頭	Turn back	Transfer head
丟架	Loses	Lost frame
吊雞	Pheasant	Hanging chicken
吊雞車	Pheasant	Hanging chicken car
吊機車	Crane	Crane locomotive
吊頸	Hanged	hanging neck
吊頸都要唞吓氣	Drink necks are frightened	Hanging neck to scare
吊頸死	Hanging neck	Hanging neck to death
吊高嚟賣	Hanging high and selling	Hanging high to sell
吊櫃	Hanging cabinet	wall cabinet
賒開!	Open!	OPEN!
吊癮	Addiction	Hanging addiction
吊鹽水	Saline	Hanging brine
刁僑扭擰	Diaoqiao twisted	Diao Kiu Twist
刁蠻	Pretty	Diaoy
吊尾	Tail	Hanging tail
吊味	Hanging flavor	Hanging flavor
吊命	Hang up	Lifting
丟那媽	Dude	Throw that mom.
屌那媽	屌 那	Cock That Mom
丟那媽,頂硬上	Throw the mother, the top is hard up	Throw that mom, hard on top.
釣泥鯭	Mud	Mud fishing
賒你老味!	赊 赊 赊 赊!	Your old taste!
賒你老母!	赊 your mother!	Your mother!
賒你老母臭閪!	閪 Your old mother smelly!	Your mother stinks!
吊砂煲	Hanging sand pot	Hanging Casserole
丟生晒	Daemon	Lost sun-drying
刁時	Timely	Diao
丟疏咗	Throw up	Lost
吊威吔	Hangwei 吔	Hanging Weiwei
吊鐘	Clock	hanging clock
掉轉頭	Turn around	Turn your head off
調轉頭	Turn around	Transfer Head
吊住條尾	Hook up	Hanging tail
DJ	DJ	DJ
哆	Dislike	doo
多	many	Multi
垜	Bleak	
朵	Blossom	blossoming
朶	Blossom	
墮	fall	Fallen
多寶	Multi -treasure	Dubbo
多寶彩池	Dabao Cai Pond	Multi-Treasure Pool
多得	get more	Much more
多得你唔少	You are more or less	More than you.
多多聲	A lot of sound	Multi Multi Sound
哚	Bleak	indole
多	many	Multi
垜	Bleak	
朵	Blossom	blossoming
朶	Blossom	
ᇙ	Bleak	
㳼	Bleak	
㳼	Bleak	
㳼㳼渧	㳼㳼 㳼㳼 㳼㳼	
啄	peck	Peck
ၷ	Bleak	
啄地	Peck	pecking
多計	Multi -plan	Multiple Counting
墮角	Fall	Falling Horns
多口	Multi -mouth	Multi-port
墮後	After the fall	Fallen
代	generation	Generations
待	treat	Pending
玳	turtle	hawks
袋	bag	BAG
袋	bag	BAG
袋袋平安	Bags and bags are safe	BAG SAFE
代客泊車	Valet Parking	Valet Parking
袋厴	Pocket	Pouches
代溝	Exchanges	Generation ditch
代通知金	Notice	Cash in behalf of notice
代支	Agency	Substitutes
袋住	Hold a bag	BAGS
袋住先	Stay first	BAGS FIRST
度	Spend	degree
踱	Pace	Trotting
鐸	Vag	Duo
鐸	Vag	Duo
鐸吔	Sideline	Duo
度橋	Bridge	Degree Bridge
踱嚟踱去	Go away	Paced
度身訂造	Tailor	Tailor-made
度水	Water	Degree of water
鐸叔	Uncle	Uncle Duo
墮落雞	Degenerate chicken	Fallen Chicken
多籮籮	Puppet	Multi-basket
噹	when	Dangdang
當	when	When
襠	crotch	Crotch
噹	when	Dangdang
擋	block	Block
黨	party	Party
檔	files	file
當	when	When
盪	swing	Swinging
蕩	swing	swinging
當差	As a bad	When poor
當交學費	Payment of tuition	When paying tuition
當黑	Be black	When Black
檔口	Stall	File port
檔期	Schedule	Gear Period
當佢冇到	Dangda	When he did not
當佢冇嚟	When	When he did not come
蕩失路	Lose a way	Lost Way
當衰	Decline	When Decay
當食生菜	食 食 生 生	When Eating Lettuce
當堂	Be in the church	Tang Tang
多手	Multi -handed	Multi-hand
多手多腳	Multi -hand	Multi-hand and multi-foot
多事	eventful	FREEVed
多士	Toast	Tado
多士焗爐	Du Shi	Toaster ovens
多士爐	Polygen	toaster
多少	How many	How much?
多數	most	Most
刀	knife	Knives
刂	Bleak	
都	All	Both
倒	fall	Inverted
島	island	Island
搗	Pound	Pounding
賭	bet	Gamble
倒	fall	Inverted
到	arrive	To
到	arrive	To
導	guide	Guide
度	Spend	degree
悼	Mourn	Tribute
杜	Daemon	Du
渡	Cross	Ferry
盜	Stolen	Pirates
稻	rice	Rice
蹈	Take over	DANCE
道	road	Road
鍍	plating	Plating
度	Spend	degree
渡	Cross	Ferry
艔	Bleak	
賭白頭片	Gambling	Bet on whiteheads
賭波	Gambling	Gambling Wave
賭波貼士	Gambling	WAW TIPS
到埠	Port	To Port
倒刺	Stabbing	Barb
倒吊荷包	Inverted sediment bag	Inverted Dicentra
賭檔	Stall	Gambling Files
度度	Degree	Degree
到加零一	To plus zero	To plus zero one
度假屋	resort	Holiday home
賭狗	Gambling dog	Gambling Dogs
到極	Extremely	To the pole
道姑	Taoist nun	Aunt Dao
都係	All	All
都係 … 先至	All ...	All... first
到喉唔到肺	To the throat to the lungs	Throat not to the lungs
倒汗水	Swallow	Pouring Sweat
道友	Fellow	Dao You
道友婆	Daoyou	Tao Yo Po
道友仔	Daoyou	Tao Yau Tsai
到而ຢ	To ຢ	To and
到而ຢ為止	So far	Until the end
到其時	At that time	To its time
倒冧	Pour	Inverted Rum
都甩	Dump	All thrown
到離譜	To outrageous	To outrageous
賭馬	Gambling	bet on horses
倒米	Pour rice	Pour rice
都唔定	Be sure	Not sure
到唔恨	Hate	Don't hate
倒模	Inverted mold	Inverted mold
到冇譜	To the score	To No Spectrum
賭外圍波	Gambling	Bet on peripheral wave
到仆街	To servant street	To Plu Street
賭神	Gambler	God of Gamblers
刀手	Knife	Knife-hand
倒瀉	Diarrhea	Fallout
倒瀉籮蟹	泻 泻 箩 箩 箩 箩 箩	Scalpidated basket crab
倒竪蔥	Poured onion	Inverted green onion
倒塔咁早	Early	Inverted Tower So Early
賭枱	Gambling table	Table
都詐諦唔V. …	All scams, v. ...	
刀仔	Sword	Knife
賭仔	Gambling	Gamble
刀仔鋸大樹	Sword saw a big tree	Saw Big Tree
都 … 啫	Mandarin	Both... jelly
刀字邊	Edge	Knife Edge
多謝	Thank you	Thank you
多隻香爐多隻鬼	There are many incense stoves and ghosts	Multiple incense burner multiple ghosts
多謝晒!	Thank you so much!	Thank you!
DRY爆	Dry explosion	DRY Burst
嘟	beep	beep
嘟嘟機	Tidal machine	Toot machine
嘟嘟咭	Murder	Doodle Card
嘟機	Tube machine	Toot machine
㧻	Bleak	
䐁	Bleak	blowfish
厾	Bleak	
擉	Bleak	
涿	Bleak	Zhuozhou
督	Supervise	Governor
篤	Unrequited	Tuk
ᰪ	Bleak	
⽴	Bleak	
毒	poison	Poison
獨	alone	Sudoku
讀	read	Read
嘟咭	Mumble	Doodle Card
㧻爆	Burst	Explosion
毒品帶家	Drug	Take Home with Drugs
毒品調查科	Drug Investigation Department	Drug Investigation Division
毒品快餐車	Drug fast dining car	Drugs Fast Food Truck
毒品飯堂	Drug	Drug Canteen
毒品分銷中心	Drug distribution center	Drug Distribution Centre
督波	Governor	Doge Wave
篤波	Durate	Duk-Bo
㧻背脊	Pheasant	Ridgeback
毒檔	Poisonous stall	Virus
毒販	Drug dealer	Drug trafficking
毒格	Poison	Toxic
獨沽一味	Done	One-sell
獨贏	Win alone	Win alone
毒瘤	cancer	Toxic tumors
讀歪音	Read crooked	Reading crooked
讀唔成書	Read a book	Read Not a Book
毒男	evil man	Poison Man
㧻眼㧻鼻	㧻 㧻 㧻	
獨眼龍	One -eyed dragon	Cyclops
篤信	Believe in	Benediction
獨食	Be alone	Eating alone
獨食難肥	Hard to eat	Eating alone is difficult to fat
獨食罌	Meal	Single eating poppy
讀屎片	Shit	Reading Shit
獨市生意	Solo business	Single City Business
篤數	Countless	Tuk-number
冬	winter	WINTER
咚	Talked	Donton
東	East	East
懂	Understand	understand
董	Director	Dong
凍	freeze	Frozen
棟	Build	Building
動	move	MOBILE
戙	Bleak	
洞	Hole	Holes
東歐妹	East Europe	Eastern European Girl
凍冰冰	Frozen ice	Frozen Ice
冬大過年	Winter New Year	winter big New Year
戙篤企	戙 戙 戙 戙 戙 戙	Leng Tuk Enterprise
棟篤笑	Dong Du Xiao	stand-up comedy
東家唔打打西家	Dongjia 唔 唔 唔 唔 唔 唔	East Family
冬菇	Mushroom	Shiitake mushrooms
冬瓜豆腐	Winter melon tofu	Winter Melon Tofu
凍過水	Frozen water	Chilled water
戙起床板	戙 戙 戙 戙 戙	Get Up Board
凍嘢	Frozen	Frozen
戙企	Lack of corporation	LENJIE
戙企水魚	戙 戙 戙 戙 戙	Aquatic fish
冬甩	Winter dump	Doughnut
凍檸茶	Jelly tea	Iced Lemon Tea
凍水	Frozen water	Cold water
東星斑	East Star spot	Eastern star spotted
端	end	End
短	short	Short
斷	Break	broken
段	part	Segments
短切切	Shortcut	Short cut
斷搶	Break	Snatch
短火	Short fire	Short Fire
短衭	Shortness	Short-spurted
斷估	Relicnate	Off Estimation
短褸	Shortness	Short jacket
短命	Short -lived	Short-lived
嘟	beep	beep
ၯ	Bleak	
奪	Seize	win
ၯ長條嘴	Long mouth	Long mouth
ၯၯ	ၯ ၯ ၯ	
ၯ起個嘴	Lift up	Pouches up a mouth
嘟嘴	Bend	beak
ၯ嘴	Puddle	Pouting
뫃	Bleak	
㖡	Bleak	
뫃都冇得뫃	뫃 뫃 뫃 冇 冇	I have no connosed
AA制	AA system	AA system
A友	A friend	A Friends
A士	A	A
ATM咭	Atm 咭	ATM Card
X光	X -ray	X-Ray
LC	LC	LC
M	M	M
M到	M	M to
M記	M	M
MK妹	MK girl	MK Sister
MK女	MK woman	MK Female
MK仔	MK	MK Tsai
MC	MC	MC
N	N	N
咹	Bleak	
安	install	Ann
安๭	Be safe	Anguan
N無人士	N	N No person
NG	NG	NG
咹展	Exhibition	Pro-Exhibition
ESSAY	Esay	ESSAY
花	flower	FLOWER
化	change	Chemical
化	change	Chemical
化	change	Chemical
花吧	Flower	Flower Bar
花槽石壆	Flower Sink Shi	Flower trough stone
花打	Beating	Flower Hit
花旦	Hua Dan	Flower Dan
花花碌碌	Blooming	FLOWER
花弗	Flower	Flower Epher
花款	Flower style	Flower
花假	Leave	Flower Leave
花菇	Mushroom	Shiitake mushroom
化骨龍	Bone dragon	Bone Dragon
化學	Chemical	Chemistry
快	quick	Quick!
塊	piece	Blocks
快	quick	Quick!
筷	chopsticks	Chopsticks
快	quick	Quick!
快把	Hurry up	Quick. Put it.
快餐一族	Fast food family	Fast food family
快趣	Fast	FAST & FUN
快速應變部隊	Quickly Response Force	Rapid Response Force
快快趣趣	Quickly fun	Quick, fun, fun
快快腳	Fast feet	FAST FOOT
快快手	Handle	Quick, quick.
快過打針	Exit injections	Faster than the needle
快口快舌	Fast mouth and fast tongue	Quick tongue
快樂不知時日過	Happy time	Happy Days Without Knowing
快佬	Faster	Fastman
快勞	Work hard	Fast labor
快馬	Fast horse	Fast horse
快手	quick worker	Quick hand
快手快腳	Fast -handed and fast -footed	Quick, hands, fast feet
快相	Fast phase	Fast phase
快相位置	Fast -phase position	Phase Position
快活不知時日過	I do not know the time	Happy unknown time passed
快活谷	Capital Valley	HAPPY VALLEY
	Bleak	
	Bleak	
⫦	Bleak	
花旗	Citron	Citi
花旗鬼	Citigrome	Citi Ghost
花旗國	Citi	Citi
花旗猶太佬	Citi Jewish	Citi Jew
花旗佬	Citi	Citi-Guy
花旗銀行	Citi Bank	CITIBANK
花旗參	Citi	American Ginseng
花菻	Lame	Hana
花Ⴡ	Lame	Hana
花Ⴡ벭	Flower ⴡ 벭 벭	Wurdfish
花Ⴡ女	Flower Girl	Flower Girl
花Ⴡ仔	Hua Tai	Saffron
花哩碌	Blooming	Flower Mile
花令紙	Flower paper	Flower making paper
花名	Name	Flower name
花面貓	Noodle cat	Flower Face Cat
番	Fascinating	crocus
翻	turn	Flip
蕃	Sanctuary	dried
反	opposite	Anti
返	return	Back
返	return	Back
泛	pan-	Pan
販	Traffick	trafficking
凡	All	Where
煩	bother	annoyance
繁	Complexity	Traditional
藩	Vassal	Domain
犯	Criminal	Committing
瓣	valve	Flap
範	Uniform	Fan
飯	meal	Rice
犯	Criminal	Committing
飯	meal	Rice
翻版	Replication	VLated
飯煲	F	Rice Cooker
飯鏟頭	饭铲头	Rice shovel head
翻炒	stir fry	Stir fry
反彈	Rebound	Bounce
反斗	Backwhelm	Anti-Dou
反斗星	Anti -fighting star	Toy Star
返到嚟	Return	Back to Come
反毒組	Anti -drug group	Anti-Drug Group
花女	Flower girl	Flower Girl
返瞓	Return	Cashback
反瞓	Reflect	Anti-reflexes
翻風	Turning the wind	Turn the wind
番梘	Fans	SOAP
番梘盒	Fanfang Box	Soap Box
番梘泡	Fanbao	Soap Bubbles
番狗	Fan Dog	Papa dog
飯腳	Meal	Rice Feet
販管隊	Trafficking team	Hawker Team
返工	Rework	Rework
飯公	Meal	Rice Kung
販管員	Dealer	Hawker
番瓜	Melon	Sweet Melon
番鬼	Ghost	Fan-Ghosts
番鬼荔枝	Fan Gui Litchi	Sangui lychee
番鬼佬	Ghost guy	Gui Gui
番鬼佬月餅	Fan Gui Lao Mooncake	Gangster Mooncake
番鬼佬睇榜	Fan Gui List	Gui Gui
番鬼妹	Fan Guimei	Ghost Girl
番鬼婆	Fan Ghost Po	Fan Ghost
番鬼話	Fan Ghost Word	Ghost
番鬼仔	Fan Guizai	Fanji
反骨	Anti-bone	Anti-bone
反骨仔	Anti -bone	Anti-Bones
反黑	Anti -black	Anti-Black
反黑行動	Anti -black operation	Anti-Black Operation
反黑組	Anti -black group	Anti-Black Group
飯盒	lunch box	Lunch box
返去	Return	Go back
返鄉下	Return to the country	Returning to the Home
返學	Return to school	Back to School
犯人欄	Criminal column	Prisoner Column
返夜	Return night	Return to the night
番茄	tomato	TOMATO
番茄汁	tomato juice	Tomato juice
返嚟	Return	Come back
凡力水	凡 力 力	Fanli Water
泛民	Universal	Pan-Peoples
反面	Opposite	Reverse side
反普教中	Anti	Anti-populism
翻生	Turn over	Rollover
番茜	Fan Qian	Parsley
翻新梳化餐椅咕౸	Revised and combed dining chair grunt	refurbished sofa dining chair cushions
飯餸	Meal	Rice dishes
番薯	Sweet potato	Sweet potato
番書女	Book Girl	Book Girl
番書仔	Fan Shuzai	Book Tsai
番攤	Stall	Fantan
翻撻	Turn a tart	Flip tarts
翻頭嫁	Turn over	Turn-Marry
翻頭婆	Turning my head	Turn-in-law
反枱	Anti -Taiwan	Anti-table
飯枱	Dining table	Rice table
反肚	Anti -belly	Anti-Belly
返屋企	Return home	Home back to the house
番話	The remarks	Scoped words
飯鑊	Meal	Rice Wok
飯焦	Coke	Rice coke
返早	Return early	Back early
返中	Return	Back to China
犯眾怒	Criminal anger	Prisoner's Wrath
犯眾憎	Criminal disgust	Abomination
煩住	Be annoyed	Annoying
返轉頭	Turn around	Return head
反轉豬肚	Reverse pork belly	Reversed Pork Belly
花灑	Shower	Shower Head
花灑帽	Shower	Shower Cap
花心	Flow	Flower Heart
花芯	Flower core	Flower core
花心大少	Flower Hearts	Big and small flower heart
花心蘿蔔	Carrot	Radish
花臣	Flower minister	Pherson
花生友	Peanut friend	Peanut Friends
花生肉	Peanut meat	Peanut meat
花生騷	Peanuts	Peanut Sao
化水	Water	Water
花士令	Flower order	Flower warrant
化算	Calculate	Calculating
法	Law	Law
發	hair	hair
髮	hair	HAIR
發青光	Turmoil	Glow
發錢寒	Qianhan	Money cold
發達	developed	Developed
發癲	Seduce	epilepsy
法定語文	Legal language	Official Languages
法定語文主任	Statistical Chinese Director	Official Languages Officer
發癲佬	Seduce	Sick Guy
花廳	Flower hall	Flower Hall
發花癲	Flowering	Epilepsy
發晦氣	Obscure	Obscure
發瘋佬	Crazy	Looney
發雞盲	Chicken blind	Hair chicken blind
髮夾	Hairpin	Hair Clip
髮夾仔	Hairpin	Hair Clip
髮腳	Hairpin	Hair & Feet
發姣	Make up	Hair
發氣	Get angry	GAS
發開口夢	Dream	Hair Open Dreams
髮型屋	Hairstyle	Hair Salons
發羊吊	Sheep crane	Hair sheep hanging
發羊吊嘅人	Sheep hanging person	The Man Who Wants the Sheep
發軟蹄	Soft hoof	Soft hoof
發窮惡	Poverty	Poverty
發冷	Cooler	chills
法蘭絨	Flaw	Flannel
法蘭西多士	France	French Doto
發爛渣	Scum	Rotten residue
法律文員	Legal clerk	Legal Clerk
法郎	franc	Francs
髮廊	Hair salon	Hair Salon
發啷႖	啷 啷 啷 啷	Hmuns
發茅	Make up	hair
發䷪产	Hairpin	Hair
發毛	Hair	Hairy
發夢	Dreaming	Hair Dreams
發夢話	Dream	Dream words
發嬲	Galloped	Hair
發噏風	Gang	Wind of the wind
發吽哣	Galloped	Hmuns
發泡膠	Styrofoam	Styrofoam
發泡膠盒	Foam rubber box	Styrofoam box
發晒茅	Tan	Sun-hair
發神經	Crazy	Nerves
發水	Water	Hair water
發市	Market	Fat Market
發燒友	Enthusiast	audiophile
法庭速記主任	Court Shinji Director	Court shorthand director
法庭傳譯主任	Court interpretation director	Court Interpreter
發圍	Siege	Fat Wai
發瘟	Plague	Distemper
發瘟雞	Pet chicken	Distemper
花王	Flowers	Kao
花仔	Flower	Flower Boy
花樽	Flower bottle	Flower vars
揮	Wave	swinging
暉	Good	Fai
輝	Bonus	Fai
痱	Bleak	Prickly
廢	Abandon	Scrap
肺	lung	lungs
費	fee	Fee
疿	Bleak	
吠	bark	Barking
痱	Bleak	Prickly
廢柴	loser	Waste wood
揮春	Fai Chun	Fai Chun
廢青	Dismantle	Scrap Green
費事	Bother	Costs
FUN	FUN	FUN
分	point	minutes
勳	Aquarium	Hoon
婚	marriage	marriage
昏	faint	fainting
氛	atmosphere	Ambience
熏	smoke	smoked
紛	One	Fun
芬	Fen	Finn
粉	pink	powder
睏	Sleepy	sleepy
瞓	Bleak	
訓	Train	Training
墳	grave	Grave
焚	burn	burning
噴	spray	Spray
奮	Work hard	Enfant
份	share	Servings
忿	Be embarrassed	wrath
憤	anger	Anger
份	share	Servings
瞓晏覺	瞓 瞓 瞓 瞓	Yan Jyan-Jou
分餅仔	Biscuits	Divided Biscuits
粉擦	Wipe	Powder Rub
粉腸	Sausage	Vermicelli Sausage
粉底	Foundation	Foundation
瞓低	Downturn	Low
瞓得到	Obtain	Get
瞓得番	瞓 瞓 瞓 瞓	Kuadoban
瞓得覺	Awareness	I feel
瞓得ဝ	瞓 ဝ ဝ ဝ	Tak Tak
瞓得着	Be able to	I can get it
粉竇	Pink sinus	Powder Sinus
粉檔	Pink	Powder File
瞓到過晒籠	瞓 to the cage	To the sun cage
瞓到好似隻死豬噉	猪 It's like a dead pig	It looks like a dead pig
瞓到ဝ	瞓 ဝ ဝ ဝ	To
瞓番	Puppet	Kiban
分分鐘	Every minute	minutes
瞓房	House	The room
揈	Bleak	
分界	Dividing	Boundaries
瞓街	Tadpole street	Gong Street
瞓街邊	瞓 瞓 瞓	Street
